Compiling 1 file (.ex)
FUNCTION                                                      CALLS  TIME (us)  PER CALL  [    %]
'Elixir.Process':info/2                                           2          0      0.00  [ 0.00]
init:archive_extension/0                                          1          0      0.00  [ 0.00]
'Elixir.Beamicom.NES.Cart':mirroring/1                            2          0      0.00  [ 0.00]
'Elixir.Beamicom.NES.Cart':ram_size/1                             8          0      0.00  [ 0.00]
'Elixir.Beamicom.NES.Cart':rom_size/3                             4          0      0.00  [ 0.00]
'Elixir.Beamicom.NES.APU':'dmc_fetch?'/1                          5          0      0.00  [ 0.00]
'Elixir.Beamicom.NES.APU':mmc5_write/3                            1          0      0.00  [ 0.00]
'Elixir.Beamicom.NES.APU':new/0                                   1          0      0.00  [ 0.00]
'Elixir.Beamicom.NES.APU':noise_reg/3                             3          0      0.00  [ 0.00]
'Elixir.Beamicom.NES.CPU':reset/1                                 1          0      0.00  [ 0.00]
prim_file:internal_name2native/1                                  1          0      0.00  [ 0.00]
prim_file:read_file/1                                             1          0      0.00  [ 0.00]
prim_file:encode_path/1                                           1          0      0.00  [ 0.00]
'Elixir.Beamicom.NES.System':load/1                               1          0      0.00  [ 0.00]
'Elixir.Beamicom.NES.System':load/2                               1          0      0.00  [ 0.00]
'Elixir.List':last/1                                              1          0      0.00  [ 0.00]
'Elixir.Range':new/2                                              1          0      0.00  [ 0.00]
lists:keyfind/3                                                   3          0      0.00  [ 0.00]
crypto:hash/2                                                     1          0      0.00  [ 0.00]
crypto:hash_final/1                                               3          0      0.00  [ 0.00]
crypto:hash/4                                                     1          0      0.00  [ 0.00]
erl_prim_loader:get_loader_config/0                               1          0      0.00  [ 0.00]
erl_prim_loader:read_file/1                                       1          0      0.00  [ 0.00]
erl_prim_loader:client_or_request/2                               1          0      0.00  [ 0.00]
erl_prim_loader:reverse/1                                         1          0      0.00  [ 0.00]
erl_prim_loader:name_split/2                                      1          0      0.00  [ 0.00]
'Elixir.Beamicom.NES.Mapper':ram_off/2                            2          0      0.00  [ 0.00]
'Elixir.Beamicom.NES.Mapper':reset/1                              1          0      0.00  [ 0.00]
                                                                      28657007            [100.0]
